Doze,Participation,Question,Score,Text,Grade
Always,30,Always,15,Never,F
Always,76,Never,41,Sometimes,F
Never,29,Always,53,Always,F
Always,88,Always,58,Always,C
Always,46,Always,38,Never,F
Never,14,Always,11,Always,F
Always,82,Never,73,Always,C
Always,64,Always,62,Never,D
Never,62,Never,75,Always,A
Never,72,Never,33,Always,B
Always,57,Never,18,Sometimes,C
Always,29,Always,31,Never,F
Always,77,Always,42,Never,C
Always,52,Never,54,Sometimes,C
Never,99,Never,45,Sometimes,C
Always,93,Always,63,Never,C
Always,43,Never,8,Never,C
Never,81,Always,81,Sometimes,A
Always,37,Always,84,Always,B
Always,50,Never,8,Sometimes,C
Always,93,Never,70,Always,C
Always,66,Never,65,Sometimes,C
Always,6,Always,48,Always,D
Never,65,Always,92,Never,A
Never,50,Always,67,Always,F
Always,34,Never,21,Never,F
Never,40,Never,67,Never,B
Never,29,Never,96,Sometimes,B
Always,1,Never,79,Always,C
Never,10,Always,60,Never,A
Always,77,Always,43,Never,C
Never,60,Never,96,Never,B
Never,73,Always,67,Always,F
Always,11,Never,42,Never,F
Always,26,Always,49,Never,D
Never,5,Never,59,Sometimes,D
Never,10,Always,97,Always,A
Never,95,Always,1,Sometimes,F
Never,12,Never,59,Always,C
Always,91,Never,57,Always,C
Always,4,Always,88,Sometimes,A
Always,75,Never,77,Always,C
Never,23,Never,29,Never,F
Always,94,Always,94,Never,A
Always,94,Never,21,Never,F
Always,33,Never,42,Never,F
Never,100,Never,2,Sometimes,C
Always,76,Always,35,Never,F
Always,66,Never,45,Sometimes,F
Always,11,Never,89,Sometimes,A
Always,51,Always,67,Never,C
Always,52,Never,88,Sometimes,B
Always,38,Never,56,Sometimes,C
Always,31,Never,54,Always,D
Never,54,Never,94,Never,B
Never,3,Never,74,Sometimes,F
Always,46,Never,78,Always,C
Always,72,Never,99,Sometimes,A
Always,93,Always,36,Sometimes,D
Never,73,Always,26,Always,D
Never,26,Always,61,Always,C
Never,5,Always,77,Always,D
Never,59,Never,5,Always,B
Never,36,Never,80,Always,A
Always,72,Always,73,Always,C
Always,82,Always,26,Never,C
Never,100,Always,4,Never,D
Never,85,Never,23,Sometimes,D
Always,88,Never,100,Never,B
Always,65,Always,0,Always,A
Always,98,Always,20,Always,B
Never,70,Never,55,Always,D
Always,33,Always,42,Never,F
Always,52,Always,43,Always,C
Always,12,Always,88,Sometimes,A
Never,71,Always,34,Sometimes,D
Never,36,Always,40,Never,F
