Attendance,Major,Questions,Score,Seniority,Texting,Grade
45,Cs,Always,98,Freshman,Rarely,Pass
47,Stat,Always,75,Sophomore,Rarely,Pass
58,Comm,Always,42,Senior,Rarely,Fail
76,Polsci,Rare,20,Sophomore,Always,Fail
55,Comm,Rare,8,Sophomore,Always,Pass
51,Polsci,Rare,15,Sophomore,Rarely,Fail
88,Stat,Always,6,Sophomore,Rarely,Fail
24,Comm,Always,45,Junior,Always,Pass
78,Stat,Always,17,Senior,Always,Fail
58,Comm,Rare,54,Junior,Always,Pass
43,Cs,Always,49,Sophomore,Always,Fail
64,Polsci,Rare,53,Sophomore,Always,Fail
51,Polsci,Always,48,Sophomore,Rarely,Pass
73,Cs,Rare,40,Senior,Rarely,Fail
72,Polsci,Rare,58,Senior,Always,Pass
35,Comm,Always,70,Freshman,Always,Pass
100,Comm,Rare,96,Junior,Always,Pass
97,Comm,Always,33,Junior,Rarely,Fail
56,Polsci,Always,3,Junior,Rarely,Pass
90,Stat,Rare,36,Junior,Always,Fail
84,Stat,Rare,46,Junior,Rarely,Fail
77,Polsci,Rare,49,Freshman,Rarely,Fail
80,Polsci,Rare,59,Sophomore,Always,Pass
29,Cs,Rare,54,Senior,Rarely,Fail
6,Stat,Rare,42,Senior,Rarely,Fail
63,Cs,Always,34,Junior,Always,Fail
23,Polsci,Rare,14,Junior,Always,Fail
67,Polsci,Rare,32,Sophomore,Rarely,Fail
75,Cs,Always,3,Freshman,Rarely,Fail
71,Polsci,Rare,42,Junior,Always,Fail
70,Stat,Rare,59,Sophomore,Always,Fail
52,Comm,Always,29,Senior,Always,Pass
73,Comm,Always,95,Junior,Rarely,Pass
51,Polsci,Rare,69,Freshman,Rarely,Pass
37,Polsci,Rare,6,Freshman,Always,Fail
28,Polsci,Always,4,Freshman,Rarely,Pass
35,Stat,Rare,81,Junior,Always,Pass
13,Comm,Always,67,Junior,Always,Pass
40,Stat,Always,50,Senior,Always,Fail
60,Cs,Always,23,Senior,Rarely,Fail
50,Comm,Always,86,Junior,Always,Pass
30,Cs,Rare,43,Sophomore,Rarely,Fail
40,Polsci,Always,73,Senior,Always,Pass
34,Comm,Always,25,Junior,Always,Pass
31,Stat,Rare,91,Freshman,Always,Fail
