Attendance,Exams,Major,Project,Questions,Seniority,Texting,Grade
94,52,Polsci,61,Always,Sophomore,Always,Pass
81,7,Comm,20,Always,Freshman,Always,Pass
36,99,Cs,50,Rare,Sophomore,Rarely,Pass
30,96,Comm,91,Always,Sophomore,Rarely,Pass
44,21,Cs,39,Always,Senior,Always,Fail
12,64,Stat,65,Always,Freshman,Rarely,Pass
86,62,Comm,33,Rare,Freshman,Rarely,Fail
62,88,Polsci,17,Rare,Junior,Always,Fail
9,100,Polsci,84,Always,Freshman,Rarely,Pass
64,70,Cs,27,Rare,Junior,Always,Fail
34,98,Stat,89,Always,Sophomore,Rarely,Fail
68,2,Comm,82,Always,Freshman,Rarely,Pass
34,3,Cs,23,Rare,Junior,Rarely,Fail
55,76,Comm,28,Always,Sophomore,Rarely,Fail
9,32,Comm,69,Rare,Junior,Rarely,Pass
78,13,Comm,80,Always,Junior,Rarely,Pass
74,27,Cs,35,Rare,Sophomore,Always,Fail
54,25,Stat,43,Always,Senior,Rarely,Fail
87,41,Cs,97,Always,Freshman,Always,Fail
48,95,Cs,83,Always,Freshman,Rarely,Pass
14,100,Cs,8,Rare,Junior,Always,Pass
8,26,Polsci,30,Rare,Sophomore,Always,Fail
62,99,Polsci,4,Rare,Sophomore,Always,Pass
90,19,Stat,48,Always,Sophomore,Always,Fail
84,39,Comm,74,Rare,Sophomore,Always,Pass
89,29,Stat,24,Rare,Junior,Always,Fail
57,96,Cs,46,Always,Freshman,Rarely,Pass
0,12,Cs,45,Always,Junior,Always,Fail
36,86,Stat,83,Always,Freshman,Rarely,Pass
40,96,Stat,62,Always,Junior,Always,Fail
11,41,Comm,35,Rare,Freshman,Always,Pass
34,67,Cs,73,Rare,Sophomore,Always,Pass
70,74,Comm,26,Rare,Freshman,Always,Pass
5,84,Stat,78,Rare,Junior,Always,Pass
57,53,Cs,99,Rare,Freshman,Always,Fail
20,99,Stat,29,Rare,Senior,Rarely,Fail
29,87,Stat,54,Rare,Senior,Always,Pass
85,96,Stat,16,Always,Junior,Rarely,Pass
86,100,Cs,58,Always,Senior,Always,Pass
26,72,Polsci,50,Rare,Junior,Always,Pass
12,86,Cs,60,Always,Freshman,Always,Pass
0,99,Comm,41,Always,Senior,Rarely,Pass
63,6,Stat,30,Rare,Freshman,Rarely,Fail
28,59,Cs,45,Always,Junior,Always,Fail
88,74,Cs,76,Rare,Junior,Rarely,Pass
3,3,Polsci,73,Always,Sophomore,Rarely,Pass
98,92,Cs,5,Always,Junior,Rarely,Pass
74,18,Comm,48,Rare,Junior,Always,Pass
73,91,Polsci,56,Always,Sophomore,Rarely,Pass
48,87,Cs,55,Always,Junior,Rarely,Pass
43,4,Polsci,7,Rare,Freshman,Rarely,Fail
20,5,Comm,79,Rare,Junior,Rarely,Pass
6,74,Polsci,40,Always,Sophomore,Always,Pass
2,61,Polsci,56,Rare,Senior,Rarely,Pass
47,73,Comm,94,Always,Freshman,Rarely,Fail
70,9,Stat,27,Rare,Junior,Rarely,Fail
55,56,Comm,31,Always,Senior,Rarely,Fail
83,77,Polsci,90,Rare,Sophomore,Always,Pass
15,11,Cs,88,Rare,Freshman,Always,Fail
31,65,Stat,54,Always,Sophomore,Always,Pass
41,67,Polsci,73,Rare,Freshman,Rarely,Pass
14,78,Comm,25,Always,Senior,Rarely,Fail
85,54,Polsci,1,Always,Junior,Rarely,Fail
39,73,Cs,49,Always,Junior,Always,Fail
58,2,Cs,87,Always,Senior,Always,Fail
3,0,Comm,8,Rare,Sophomore,Always,Pass
25,25,Polsci,66,Rare,Sophomore,Rarely,Fail
33,91,Polsci,21,Always,Junior,Always,Pass
1,17,Comm,76,Rare,Freshman,Always,Pass
27,52,Comm,2,Rare,Freshman,Always,Fail
2,57,Polsci,8,Rare,Junior,Always,Fail
77,59,Comm,74,Rare,Sophomore,Always,Pass
19,5,Cs,5,Always,Freshman,Rarely,Fail
41,35,Cs,60,Always,Freshman,Always,Fail
57,92,Cs,57,Rare,Sophomore,Rarely,Pass
20,14,Polsci,23,Always,Senior,Always,Pass
82,33,Stat,51,Always,Sophomore,Always,Fail
78,73,Stat,27,Always,Sophomore,Always,Fail
97,9,Cs,43,Always,Sophomore,Always,Fail
98,71,Polsci,99,Always,Freshman,Always,Pass
90,43,Stat,30,Always,Junior,Rarely,Fail
50,43,Comm,20,Always,Junior,Rarely,Fail
23,1,Stat,37,Always,Freshman,Always,Fail
