Connections,Education,GPA,GradYear,Earnings
39,Professional,4,1933,11600
3,Other,3,1923,509
17,Vocational,1,2013,13100
2,Professional,2,1957,11800
80,Business,3,1919,10007
30,Business,1,1959,10004
16,Humanities,0,1905,10000
92,Humanities,0,2013,20000
49,Vocational,4,1968,13400
93,Stem,2,1937,9800
1,Business,0,1996,10004
50,Professional,3,1975,11700
72,Vocational,2,2012,13200
48,Business,0,1914,10009
60,Vocational,2,2014,13200
38,Humanities,1,1991,10100
19,Vocational,0,1971,13000
64,Vocational,3,1922,13300
3,Vocational,0,2019,13000
66,Vocational,1,1942,13100
70,Vocational,3,1936,13300
69,Professional,4,1972,11600
75,Other,1,1995,6125
31,Other,2,1979,1461
6,Other,4,1998,536
34,Humanities,0,1980,10000
50,Other,2,1959,3000
10,Professional,0,1991,12000
18,Humanities,3,1939,10300
36,Other,3,2003,1796
89,Business,1,1932,10102
39,Vocational,3,1972,13300
73,Stem,1,1969,9900
97,Professional,1,1992,11900
46,Professional,3,2008,11700
29,Business,0,1972,10003
74,Business,2,1991,10009
2,Stem,1,1958,9900
68,Other,2,1915,5124
28,Professional,2,1907,11800
71,Stem,0,1975,10000
30,Business,0,2016,10003
66,Business,4,1954,10409
62,Business,2,1943,10009
32,Professional,0,1982,12000
81,Other,3,1918,7061
76,Vocational,2,1934,13200
46,Stem,1,1913,9900
17,Business,3,1941,10009
68,Business,4,2014,10408
9,Humanities,3,1917,10300
49,Stem,0,1980,10000
73,Humanities,1,1997,10100
42,Business,4,1988,10403
12,Stem,1,1946,9900
42,Business,2,1945,10005
46,Stem,0,1941,10000
82,Other,0,1974,7224
54,Humanities,1,1909,10100
47,Humanities,2,1906,10200
84,Business,3,1965,10004
67,Vocational,3,1962,13300
56,Stem,3,1992,20300
59,Vocational,1,2000,13100
34,Stem,1,2006,9900
6,Professional,1,1909,11900
53,Professional,1,1985,11900
1,Business,0,1996,10002
71,Other,0,1994,5541
25,Humanities,2,1957,10200
96,Business,3,2015,10007
80,Business,4,1946,10409
63,Other,3,1985,4469
75,Professional,2,1939,11800
11,Humanities,1,1945,10100
86,Other,1,1972,7896
50,Professional,0,1945,12000
47,Humanities,3,2015,20300
68,Stem,1,1917,9900
18,Humanities,1,1936,10100
89,Humanities,0,1947,10000
83,Humanities,2,1998,10200
13,Vocational,2,1962,13200
69,Humanities,2,1933,10200
55,Stem,4,2015,20400
90,Business,1,1994,10109
77,Business,1,2016,10107
19,Stem,0,1912,10000
33,Professional,4,1949,11600
36,Other,3,1967,1796
3,Professional,0,1963,12000
52,Vocational,2,1900,13200
56,Vocational,1,1920,13100
66,Vocational,0,1921,13000
66,Professional,2,1934,11800
63,Other,3,1900,4469
54,Business,0,1916,10003
16,Vocational,2,1977,13200
92,Other,1,1908,8964
83,Business,4,1964,10409
27,Humanities,2,1935,10200
53,Other,3,1902,3309
25,Humanities,1,1900,10100
98,Professional,2,1908,11800
99,Professional,3,1910,11700
68,Stem,3,1901,20300
47,Other,1,1918,2709
40,Other,2,1941,2100
80,Humanities,0,1907,10000
99,Other,1,1988,10301
82,Stem,4,1923,20400
73,Humanities,4,1976,10400
95,Other,4,1986,9525
61,Other,3,1914,4221
2,Business,2,1968,10209
96,Professional,4,1987,11600
84,Professional,2,1933,11800
81,Stem,4,1923,20400
28,Stem,0,1963,10000
4,Humanities,2,1911,10200
22,Business,3,1969,10005
75,Business,3,1956,10303
74,Other,3,2008,5976
90,Vocational,1,1927,13100
87,Humanities,0,1917,10000
18,Other,2,2009,824
43,Other,4,1919,2349
17,Business,0,1940,10008
35,Other,2,1924,1725
49,Other,4,2005,2901
82,Humanities,1,1966,10100
69,Business,0,2007,10009
37,Business,3,1988,10302
37,Business,1,1931,10008
79,Stem,2,1908,9800
63,Stem,1,1900,9900
31,Other,1,1931,1461
29,Other,1,1934,1341
85,Other,4,1951,7725
11,Other,0,1924,621
91,Business,4,1901,10009
7,Vocational,3,1937,13300
18,Business,2,2011,10005
8,Vocational,4,1999,13400
31,Humanities,2,1927,10200
72,Professional,1,1910,11900
69,Humanities,1,1951,10100
29,Professional,1,2011,11900
95,Humanities,3,1950,10300
15,Stem,3,1979,20300
62,Humanities,0,1960,10000
65,Business,3,2019,10003
81,Humanities,4,2013,20400
67,Vocational,3,1932,13300
85,Business,2,1933,10003
99,Humanities,2,1973,10200
6,Stem,3,1945,20300
16,Professional,0,1969,12000
91,Humanities,2,1906,10200
62,Professional,4,1992,11600
69,Professional,1,1985,11900
81,Professional,0,1964,12000
8,Professional,4,1957,11600
10,Professional,2,1947,11800
56,Humanities,0,2005,20000
53,Vocational,2,1938,13200
67,Humanities,1,1976,10100
12,Stem,1,1952,9900
73,Professional,2,1907,11800
22,Vocational,1,1925,13100
6,Vocational,1,1936,13100
27,Other,2,2017,1229
54,Stem,4,1977,20400
43,Professional,1,2009,11900
44,Other,1,1914,2436
25,Stem,0,1931,10000
55,Stem,4,1931,20400
94,Vocational,3,1903,13300
99,Stem,3,1916,20300
27,Stem,2,2012,9800
88,Other,0,1980,8244
4,Humanities,3,1955,10300
7,Professional,0,1983,12000
31,Stem,4,1999,20400
13,Business,4,1959,10009
54,Stem,2,2001,9800
62,Stem,0,1977,10000
44,Stem,0,1988,10000
17,Humanities,4,2015,20400
59,Stem,0,1977,10000
3,Professional,2,1997,11800
65,Other,3,1919,4725
40,Stem,4,1905,20400
0,Other,3,1916,500
12,Vocational,1,1950,13100
11,Vocational,1,1971,13100
1,Humanities,2,1943,10200
17,Other,2,1926,789
21,Humanities,0,1959,10000
31,Professional,2,1951,11800
64,Stem,0,1929,10000
68,Humanities,4,1924,10400
70,Humanities,2,2015,20200
6,Professional,4,2007,11600
69,Professional,4,2014,11600
51,Professional,2,1946,11800
3,Humanities,4,1998,10400
72,Stem,4,1904,20400
50,Professional,1,2007,11900
87,Stem,0,1952,10000
52,Professional,3,1989,11700
42,Vocational,1,2009,13100
78,Business,2,1951,10009
30,Professional,4,1945,11600
47,Other,4,1987,2709
94,Humanities,4,2004,20400
95,Stem,0,1910,10000
49,Stem,1,1955,9900
87,Professional,4,1914,11600
71,Professional,0,1997,12000
34,Stem,2,1948,9800
95,Professional,2,2018,11800
25,Vocational,4,1922,13400
12,Humanities,3,1997,10300
78,Other,1,1922,6584
80,Other,3,1937,6900
58,Business,3,1959,10008
15,Humanities,0,1940,10000
61,Other,3,1906,4221
80,Humanities,1,2006,20100
6,Business,3,1929,10007
46,Vocational,3,1920,13300
36,Other,2,1909,1796
100,Professional,3,1957,11700
51,Other,3,1926,3101
87,Humanities,2,1922,10200
56,Professional,3,2003,11700
57,Stem,3,2010,20300
86,Professional,3,1954,11700
27,Professional,4,2000,11600
18,Humanities,4,1971,10400
37,Vocational,0,1904,13000
95,Other,1,2006,9525
96,Professional,4,1903,11600
22,Business,0,1917,10004
93,Vocational,2,1919,13200
70,Other,4,1935,5400
78,Humanities,3,1996,10300
56,Vocational,1,1900,13100
87,Professional,3,1957,11700
31,Professional,3,1920,11700
96,Stem,1,2005,9900
17,Humanities,4,1913,10400
31,Vocational,4,1992,13400
76,Other,2,1973,6276
74,Business,4,1972,10404
81,Other,4,1945,7061
63,Stem,4,1951,20400
94,Business,1,1959,10002
66,Professional,0,2014,12000
10,Professional,1,1900,11900
32,Stem,2,1996,9800
37,Vocational,4,1922,13400
39,Professional,0,1900,12000
18,Stem,1,1956,9900
1,Humanities,2,1958,10200
77,Business,0,1930,10005
51,Stem,3,1927,20300
39,Professional,1,1955,11900
98,Other,0,1989,10104
4,Stem,4,1932,20400
0,Humanities,4,1944,10400
51,Business,2,1905,10009
69,Other,4,1975,5261
18,Humanities,3,2015,20300
78,Professional,4,1985,11600
91,Stem,2,1998,9800
26,Professional,2,1954,11800
60,Vocational,0,1971,13000
81,Humanities,2,1965,10200
50,Stem,1,2020,9900
33,Stem,0,1998,10000
87,Professional,2,2017,11800
2,Business,2,1994,10206
57,Humanities,0,1921,10000
92,Other,0,1943,8964
15,Business,4,1992,10408
24,Humanities,1,1914,10100
50,Humanities,0,2005,20000
30,Business,4,1983,10006
9,Other,2,1927,581
19,Other,1,1991,861
54,Other,1,1925,3416
78,Stem,0,1990,10000
20,Professional,4,1966,11600
55,Humanities,0,1989,10000
25,Professional,3,2014,11700
81,Other,3,2015,7061
59,Business,3,1997,10009
0,Professional,3,1908,11700
32,Business,1,1927,10006
64,Other,4,1999,4596
42,Business,4,1985,10004
90,Humanities,2,1979,10200
82,Business,1,1954,10108
62,Stem,0,1949,10000
83,Stem,3,2003,20300
76,Business,4,2005,10008
89,Business,2,1964,10205
17,Other,1,1982,789
94,Stem,3,1968,20300
70,Professional,3,1950,11700
29,Vocational,3,1904,13300
97,Vocational,3,1957,13300
69,Professional,1,1966,11900
31,Professional,0,1907,12000
47,Vocational,1,1967,13100
86,Business,1,1988,10107
95,Stem,4,1993,20400
74,Other,0,1960,5976
33,Humanities,1,1932,10100
89,Other,3,2020,8421
79,Other,0,1951,6741
68,Professional,1,2004,11900
88,Vocational,4,1959,13400
0,Other,1,1905,500
10,Professional,4,1932,11600
0,Humanities,0,1967,10000
37,Other,3,2005,1869
77,Humanities,1,1938,10100
93,Business,2,1953,10006
59,Humanities,0,2019,20000
36,Vocational,0,2019,13000
87,Stem,1,1900,9900
82,Other,4,1967,7224
80,Business,3,1987,10009
1,Humanities,1,1947,10100
99,Professional,2,1950,11800
28,Vocational,1,1918,13100
86,Professional,1,1921,11900
9,Professional,4,2020,11600
60,Business,4,2012,10405
33,Business,3,1946,10309
20,Professional,3,1956,11700
63,Business,2,1900,10206
63,Humanities,2,1985,10200
87,Humanities,3,1921,10300
92,Professional,3,1956,11700
99,Vocational,3,1910,13300
44,Stem,2,2015,9800
75,Humanities,0,1945,10000
92,Humanities,4,1961,10400
13,Other,1,1902,669
50,Vocational,2,1932,13200
66,Professional,1,1932,11900
15,Business,2,2013,10003
65,Stem,3,1993,20300
91,Humanities,1,1955,10100
44,Stem,4,1914,20400
53,Business,1,2016,10108
0,Stem,2,1967,9800
73,Vocational,2,2008,13200
96,Humanities,1,1949,10100
91,Humanities,2,1961,10200
21,Vocational,1,1986,13100
57,Professional,2,1989,11800
16,Stem,1,1973,9900
55,Other,4,1971,3525
81,Business,4,1966,10405
93,Professional,1,1918,11900
56,Business,4,1932,10408
32,Humanities,2,2007,20200
15,Vocational,1,1953,13100
88,Humanities,3,2017,20300
96,Stem,1,1971,9900
12,Stem,2,2004,9800
87,Other,4,1911,8069
11,Professional,1,2000,11900
14,Vocational,2,1961,13200
5,Other,4,1961,525
69,Humanities,4,1932,10400
70,Stem,0,1997,10000
29,Humanities,3,2005,20300
9,Vocational,4,1983,13400
35,Other,4,1924,1725
84,Humanities,4,1970,10400
83,Business,3,1931,10005
73,Stem,4,1998,20400
19,Professional,1,1932,11900
5,Stem,3,1956,20300
22,Humanities,1,1965,10100
6,Stem,2,1976,9800
55,Vocational,2,1900,13200
42,Other,4,1917,2264
47,Stem,4,1913,20400
65,Professional,0,1926,12000
37,Stem,3,1983,20300
61,Business,4,1979,10005
56,Other,1,1915,3636
59,Professional,0,1957,12000
68,Vocational,0,1988,13000
5,Business,1,2019,10006
54,Business,0,1984,10007
32,Stem,3,1960,20300
66,Humanities,1,1970,10100
73,Stem,4,1950,20400
100,Humanities,3,1962,10300
51,Professional,2,1972,11800
49,Stem,0,1982,10000
98,Business,2,2020,10208
42,Other,2,1979,2264
66,Humanities,3,1945,10300
75,Other,1,2012,6125
14,Humanities,1,1989,10100
86,Stem,1,1948,9900
77,Business,1,1919,10004
68,Business,4,1927,10007
93,Humanities,1,1950,10100
81,Humanities,1,1978,10100
86,Business,2,1965,10005
68,Stem,3,1923,20300
21,Vocational,2,1963,13200
70,Professional,4,1953,11600
98,Vocational,3,1946,13300
81,Business,3,2003,10009
6,Vocational,1,2004,13100
21,Professional,1,2005,11900
19,Vocational,3,1980,13300
100,Vocational,1,1920,13100
95,Humanities,1,1921,10100
49,Humanities,2,1912,10200
51,Professional,4,2012,11600
44,Humanities,0,2012,20000
58,Humanities,4,1974,10400
84,Other,3,1922,7556
83,Other,4,2005,7389
66,Business,2,2012,10208
13,Stem,4,1960,20400
40,Professional,1,1951,11900
10,Stem,2,2012,9800
0,Professional,2,2018,11800
1,Vocational,2,2005,12800
73,Vocational,2,1908,13200
63,Vocational,4,1969,13400
27,Humanities,4,1932,10400
12,Stem,4,1953,20400
15,Business,2,2016,10202
57,Humanities,4,1909,10400
47,Vocational,0,1990,13000
37,Professional,1,2013,11900
49,Professional,1,1946,11900
64,Other,3,1905,4596
12,Stem,1,1917,9900
66,Professional,0,1969,12000
90,Professional,3,1963,11700
50,Vocational,4,1975,13400
28,Other,3,1909,1284
34,Other,3,1912,1656
49,Other,1,1997,2901
58,Humanities,2,1936,10200
78,Vocational,3,1973,13300
66,Professional,1,1930,11900
71,Other,4,1977,5541
64,Vocational,1,1981,13100
58,Humanities,3,1910,10300
70,Professional,1,1943,11900
1,Vocational,1,1916,12900
43,Business,1,1915,10006
39,Humanities,1,1961,10100
25,Other,4,1971,1125
2,Professional,0,1963,12000
12,Vocational,2,1921,13200
93,Vocational,0,1967,13000
69,Stem,1,1946,9900
73,Professional,3,1941,11700
74,Other,0,1929,5976
68,Humanities,4,1943,10400
64,Humanities,3,1904,10300
47,Stem,1,1952,9900
27,Stem,0,1900,10000
26,Stem,2,1918,9800
48,Business,4,1970,10403
68,Professional,3,1945,11700
42,Stem,0,1938,10000
3,Stem,0,1948,10000
35,Humanities,0,2005,20000
52,Stem,1,2008,9900
55,Vocational,0,1988,13000
85,Professional,1,2002,11900
23,Business,1,1910,10103
95,Stem,3,2014,20300
62,Business,1,1928,10109
32,Business,4,1998,10407
14,Business,2,2008,10205
79,Other,4,1956,6741
95,Professional,2,1961,11800
62,Other,0,1925,4344
98,Stem,2,1979,9800
95,Stem,3,1961,20300
9,Other,0,2018,581
1,Other,3,2001,501
85,Business,2,1925,10006
41,Other,1,1909,2181
39,Humanities,3,2020,20300
6,Vocational,1,2010,13100
79,Stem,1,1905,9900
27,Professional,0,1940,12000
74,Other,1,1932,5976
58,Other,2,1925,3864
18,Other,1,1919,824
68,Vocational,4,1963,13400
44,Other,3,1904,2436
38,Other,1,1964,1944
25,Business,3,1967,10005
59,Business,0,2006,10009
37,Stem,3,1969,20300
99,Vocational,2,1955,13200
55,Stem,1,2019,9900
100,Vocational,0,1923,13000
7,Business,2,1915,10007
74,Stem,0,1937,10000
4,Other,1,1927,516
58,Professional,1,1900,11900
24,Business,3,1913,10009
48,Business,2,1962,10205
66,Humanities,0,1965,10000
31,Other,0,1936,1461
8,Business,1,1974,10102
67,Other,0,1903,4989
41,Business,0,1952,10009
45,Other,2,1999,2525
84,Humanities,3,1980,10300
19,Other,2,1913,861
69,Stem,3,1905,20300
81,Professional,2,1998,11800
55,Humanities,1,2004,20100
28,Business,4,1972,10406
39,Vocational,1,1967,13100
63,Business,3,1983,10003
83,Vocational,4,1912,13400
48,Professional,2,1941,11800
